year,gender,conf_domain,count
2000,F,cs,966
2000,F,de,87
2000,F,se,78
2000,F,th,255
2000,M,cs,4389
2000,M,de,535
2000,M,se,379
2000,M,th,1559
2001,F,cs,1131
2001,F,de,143
2001,F,se,135
2001,F,th,248
2001,M,cs,4917
2001,M,de,719
2001,M,se,611
2001,M,th,1607
2002,F,cs,1073
2002,F,de,284
2002,F,se,114
2002,F,th,250
2002,M,cs,4541
2002,M,de,1243
2002,M,se,589
2002,M,th,1702
2003,F,cs,1528
2003,F,de,282
2003,F,se,120
2003,F,th,279
2003,M,cs,6394
2003,M,de,990
2003,M,se,593
2003,M,th,1789
2004,F,cs,1557
2004,F,de,407
2004,F,se,176
2004,F,th,381
2004,M,cs,6541
2004,M,de,1456
2004,M,se,657
2004,M,th,2296
2005,F,cs,2276
2005,F,de,379
2005,F,se,203
2005,F,th,403
2005,M,cs,9286
2005,M,de,1446
2005,M,se,891
2005,M,th,2340
2006,F,cs,2380
2006,F,de,441
2006,F,se,177
2006,F,th,419
2006,M,cs,9001
2006,M,de,1622
2006,M,se,816
2006,M,th,2307
2007,F,cs,2786
2007,F,de,445
2007,F,se,190
2007,F,th,395
2007,M,cs,11193
2007,M,de,1682
2007,M,se,861
2007,M,th,2542
2008,F,cs,2816
2008,F,de,507
2008,F,se,224
2008,F,th,404
2008,M,cs,10789
2008,M,de,1861
2008,M,se,992
2008,M,th,2585
2009,F,cs,3123
2009,F,de,489
2009,F,se,213
2009,F,th,401
2009,M,cs,11537
2009,M,de,1630
2009,M,se,1088
2009,M,th,2494
2010,F,cs,3335
2010,F,de,511
2010,F,se,229
2010,F,th,466
2010,M,cs,11667
2010,M,de,1811
2010,M,se,979
2010,M,th,2720
2011,F,cs,4170
2011,F,de,519
2011,F,se,283
2011,F,th,436
2011,M,cs,14800
2011,M,de,1675
2011,M,se,1118
2011,M,th,2363
2012,F,cs,4236
2012,F,de,484
2012,F,se,256
2012,F,th,424
2012,M,cs,14049
2012,M,de,1736
2012,M,se,1134
2012,M,th,2635
2013,F,cs,5640
2013,F,de,505
2013,F,se,319
2013,F,th,445
2013,M,cs,18330
2013,M,de,1754
2013,M,se,1284
2013,M,th,2784
2014,F,cs,5122
2014,F,de,581
2014,F,se,316
2014,F,th,522
2014,M,cs,16430
2014,M,de,1958
2014,M,se,1351
2014,M,th,2885
2015,F,cs,6200
2015,F,de,608
2015,F,se,340
2015,F,th,528
2015,M,cs,21037
2015,M,de,2010
2015,M,se,1358
2015,M,th,2925
2016,F,cs,6345
2016,F,de,603
2016,F,se,246
2016,F,th,509
2016,M,cs,19488
2016,M,de,1820
2016,M,se,920
2016,M,th,2866
