year,gender,l0,count
2000,F,Asian,311
2000,F,GreaterAfrican,32
2000,F,GreaterEuropean,623
2000,M,Asian,1184
2000,M,GreaterAfrican,272
2000,M,GreaterEuropean,2933
2001,F,Asian,373
2001,F,GreaterAfrican,51
2001,F,GreaterEuropean,707
2001,M,Asian,1369
2001,M,GreaterAfrican,342
2001,M,GreaterEuropean,3206
2002,F,Asian,395
2002,F,GreaterAfrican,59
2002,F,GreaterEuropean,619
2002,M,Asian,1304
2002,M,GreaterAfrican,305
2002,M,GreaterEuropean,2932
2003,F,Asian,612
2003,F,GreaterAfrican,99
2003,F,GreaterEuropean,817
2003,M,Asian,2021
2003,M,GreaterAfrican,407
2003,M,GreaterEuropean,3966
2004,F,Asian,710
2004,F,GreaterAfrican,85
2004,F,GreaterEuropean,762
2004,M,Asian,2143
2004,M,GreaterAfrican,414
2004,M,GreaterEuropean,3984
2005,F,Asian,1010
2005,F,GreaterAfrican,134
2005,F,GreaterEuropean,1132
2005,M,Asian,2986
2005,M,GreaterAfrican,628
2005,M,GreaterEuropean,5672
2006,F,Asian,1056
2006,F,GreaterAfrican,160
2006,F,GreaterEuropean,1164
2006,M,Asian,2959
2006,M,GreaterAfrican,635
2006,M,GreaterEuropean,5407
2007,F,Asian,1359
2007,F,GreaterAfrican,159
2007,F,GreaterEuropean,1268
2007,M,Asian,3678
2007,M,GreaterAfrican,862
2007,M,GreaterEuropean,6653
2008,F,Asian,1385
2008,F,GreaterAfrican,203
2008,F,GreaterEuropean,1228
2008,M,Asian,3696
2008,M,GreaterAfrican,790
2008,M,GreaterEuropean,6303
2009,F,Asian,1608
2009,F,GreaterAfrican,196
2009,F,GreaterEuropean,1319
2009,M,Asian,4273
2009,M,GreaterAfrican,774
2009,M,GreaterEuropean,6490
2010,F,Asian,1695
2010,F,GreaterAfrican,219
2010,F,GreaterEuropean,1421
2010,M,Asian,4230
2010,M,GreaterAfrican,817
2010,M,GreaterEuropean,6620
2011,F,Asian,2108
2011,F,GreaterAfrican,245
2011,F,GreaterEuropean,1817
2011,M,Asian,5381
2011,M,GreaterAfrican,1053
2011,M,GreaterEuropean,8366
2012,F,Asian,2175
2012,F,GreaterAfrican,269
2012,F,GreaterEuropean,1792
2012,M,Asian,5189
2012,M,GreaterAfrican,1034
2012,M,GreaterEuropean,7826
2013,F,Asian,2946
2013,F,GreaterAfrican,332
2013,F,GreaterEuropean,2362
2013,M,Asian,6711
2013,M,GreaterAfrican,1394
2013,M,GreaterEuropean,10225
2014,F,Asian,2756
2014,F,GreaterAfrican,322
2014,F,GreaterEuropean,2044
2014,M,Asian,6336
2014,M,GreaterAfrican,1294
2014,M,GreaterEuropean,8800
2015,F,Asian,3314
2015,F,GreaterAfrican,374
2015,F,GreaterEuropean,2512
2015,M,Asian,8103
2015,M,GreaterAfrican,1552
2015,M,GreaterEuropean,11382
2016,F,Asian,3432
2016,F,GreaterAfrican,426
2016,F,GreaterEuropean,2487
2016,M,Asian,7898
2016,M,GreaterAfrican,1556
2016,M,GreaterEuropean,10034
